                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.87642,                 0.4302,                0.93473,                      1,                0.74818,                  0.995,                 0.3535,                 2.2431,                 1.2039,                 1.5287,              0.0010298,              0.0010298,              0.0010298
                     52,                0.93762,                0.44547,                0.96959,                    0.5,                      1,                  0.885,                0.39538,                 1.9873,                 1.1406,                 1.3602,                0.00101,                0.00101,                0.00101
                     53,                0.87137,                0.40995,                0.97002,                      1,                0.49579,                0.87433,                0.40684,                  1.781,                 1.0757,                 1.2863,              0.0009902,              0.0009902,              0.0009902
                     54,                 0.8879,                0.44351,                0.93294,                      1,                 0.4968,                0.97214,                0.44487,                  2.048,                 1.1675,                 1.3929,              0.0009704,              0.0009704,              0.0009704
                     55,                0.83085,                0.43285,                 0.9448,                0.81229,                 0.7281,                0.91333,                0.33395,                 2.4081,                 1.0785,                 1.6172,              0.0009506,              0.0009506,              0.0009506
                     56,                0.87401,                0.42059,                 0.9698,                0.87324,                0.66667,                0.83125,                0.31601,                 2.4697,                 1.1099,                 1.6768,              0.0009308,              0.0009308,              0.0009308
                     57,                0.89735,                0.41191,                0.94508,                0.89316,                0.66667,                  0.863,                0.42324,                 2.1074,                 1.1819,                 1.4303,               0.000911,               0.000911,               0.000911
                     58,                0.85641,                0.42767,                0.93582,                0.69904,                0.77998,                0.75614,                0.43594,                 1.7589,                  1.076,                 1.3004,              0.0008912,              0.0008912,              0.0008912
                     59,                0.91005,                0.42528,                0.94312,                0.69259,                 0.7574,                0.76599,                0.40585,                 1.8221,                 1.3182,                 1.3553,              0.0008714,              0.0008714,              0.0008714
                     60,                0.98847,                0.46322,                0.94631,                0.90782,                0.66667,                0.80643,                0.39548,                 2.0745,                 1.3124,                  1.464,              0.0008516,              0.0008516,              0.0008516
                     61,                0.85737,                0.43143,                0.94673,                0.91266,                0.66667,                0.85852,                0.33495,                 2.3082,                 1.2793,                 1.6071,              0.0008318,              0.0008318,              0.0008318
                     62,                0.89432,                 0.4387,                0.96593,                 0.9201,                0.66667,                  0.845,                0.36088,                 2.2646,                 1.0523,                 1.6102,               0.000812,               0.000812,               0.000812
                     63,                 0.8794,                0.42533,                0.94664,                0.77129,                0.83333,                0.82024,                0.35262,                 2.1103,                 1.1275,                 1.5011,              0.0007922,              0.0007922,              0.0007922
                     64,                0.85104,                 0.4245,                0.91852,                      1,                0.48645,                0.76659,                0.39618,                   1.96,                 1.2954,                 1.4009,              0.0007724,              0.0007724,              0.0007724
                     65,                0.87028,                 0.4325,                0.96555,                      1,                0.48962,                0.76773,                0.36157,                 1.9201,                 1.2939,                 1.3954,              0.0007526,              0.0007526,              0.0007526
                     66,                0.83365,                0.40924,                0.91063,                      1,                0.48754,                0.76773,                0.34545,                 2.0857,                 1.2746,                  1.462,              0.0007328,              0.0007328,              0.0007328
                     67,                0.82139,                 0.4026,                0.91453,                      1,                0.48508,                0.83386,                0.30268,                  2.324,                 1.1037,                 1.5737,               0.000713,               0.000713,               0.000713
                     68,                0.85315,                0.38527,                0.90469,                      1,                0.65062,                0.94167,                0.29833,                 2.3287,                  1.034,                 1.5848,              0.0006932,              0.0006932,              0.0006932
                     69,                0.88013,                0.40919,                0.97498,                      1,                0.64749,                 0.8931,                0.34558,                 2.1697,                 1.0131,                 1.5056,              0.0006734,              0.0006734,              0.0006734
                     70,                0.77437,                0.38559,                0.96453,                0.66311,                0.83333,                 0.8591,                0.42516,                 1.9431,                0.87522,                 1.4165,              0.0006536,              0.0006536,              0.0006536
                     71,                0.75719,                0.37141,                0.91178,                      1,                0.66197,                0.91333,                0.46363,                 1.8982,                0.84902,                 1.4046,              0.0006338,              0.0006338,              0.0006338
                     72,                0.84631,                0.37836,                0.94974,                      1,                0.92839,                  0.995,                0.47295,                 1.9766,                0.81946,                 1.4719,               0.000614,               0.000614,               0.000614
                     73,                0.76555,                0.36184,                0.89482,                      1,                0.95579,                  0.995,                  0.486,                 1.9804,                0.82516,                  1.522,              0.0005942,              0.0005942,              0.0005942
                     74,                0.79566,                0.37059,                0.92636,                      1,                0.95187,                  0.995,                0.44541,                 2.0573,                0.86605,                 1.5569,              0.0005744,              0.0005744,              0.0005744
                     75,                0.82833,                0.39273,                0.90739,                      1,                0.94982,                  0.995,                0.39645,                 2.1948,                0.97347,                 1.6319,              0.0005546,              0.0005546,              0.0005546
                     76,                0.86653,                0.38982,                0.95461,                      1,                  0.947,                  0.995,                0.37405,                  2.184,                 1.0563,                 1.6316,              0.0005348,              0.0005348,              0.0005348
                     77,                  0.761,                0.36709,                0.92831,                      1,                  0.927,                  0.995,                0.40451,                  2.154,                 1.1165,                 1.5914,               0.000515,               0.000515,               0.000515
                     78,                0.77794,                0.37656,                0.89095,                 0.9197,                0.83333,                  0.955,                0.41741,                 2.0708,                  1.103,                 1.5263,              0.0004952,              0.0004952,              0.0004952
                     79,                0.79545,                0.35914,                0.92236,                      1,                      1,                  0.995,                0.42762,                   2.15,                    1.4,                 1.5095,              0.0004754,              0.0004754,              0.0004754
                     80,                0.78905,                0.35642,                0.92275,                      1,                0.49906,                0.78586,                0.29778,                 2.3258,                 1.6338,                 1.5687,              0.0004556,              0.0004556,              0.0004556
                     81,                0.77849,                0.35488,                0.92182,                 0.9623,                0.33333,                0.38908,                 0.1524,                 2.4704,                 1.9593,                 1.6466,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.7602,                0.36797,                0.91042,                0.77626,                0.33333,                0.36135,                0.10974,                 2.4996,                 3.1329,                 1.6732,               0.000416,               0.000416,               0.000416
                     83,                 0.7978,                0.38501,                0.89946,                0.75661,                0.33333,                0.37061,                0.15007,                 2.3891,                 2.7102,                  1.638,              0.0003962,              0.0003962,              0.0003962
